StockName,StockCode,CurrentPrice,Price_Change_Value,Price_Change_Status,Volume,VolumeChangeRate,Action,Candle_Pattern,MACD_Trend,RSI_Status,Volume_Trend,Price_vs_Bollinger,Slope_5,Slope_20,Slope_60,Slope_120,Recent_Max_Volume_Date,Recent_Max_Volume_Change,Recent_Max_Volume_Trend,Recent_Max_Volume_Value,Support_1,Support_2,Support_3,Resistance_1,Resistance_2,Resistance_3
LG,3550,76400,1.866666666666661,상승,54712,-76.05999877482081,"매수 고려(이동평균선 상승, 추세 강화 가능성)",양봉,상승,중립,감소,중간,상승,상승,하락,하락,2024-12-17,-2.088772845953002,하락,228538,75668.00 (2020-02-12),75600.00 (2022-06-22),75500.00 (2024-04-19),77100.00 (2023-10-30),77800.00 (2022-02-10),78400.00 (2021-11-30)
SK텔레콤,17670,57600,1.0526315789473717,상승,215727,-65.28410526434367,"매수 고려(이동평균선 상승, 추세 강화 가능성)",도지,하락,과매도,감소,중간,상승,상승,상승,상승,2024-12-17,-1.041666666666663,하락,621407,57300.00 (2022-01-21),56419.00 (2021-10-01),56333.00 (2021-07-19),57700.00 (2024-11-07),57900.00 (2021-11-29),61000.00 (2022-05-13)
이노션,214320,19920,-0.2004008016032066,하락,9241,-69.56793782519924,"매수 고려(이동평균선 상승, 추세 강화 가능성)",위꼬리 긴 음봉,하락,중립,감소,중간,상승,상승,상승,하락,2024-12-17,0.7571933366986361,상승,30366,19780.00 (2024-09-03),19725.00 (2023-06-27),19530.00 (2024-10-25),20100.00 (2024-07-08),20125.00 (2023-01-02),20150.00 (2023-08-25)
셀트리온,68270,195900,1.3975155279503104,상승,279903,-72.2978576843672,매수 고려(이동평균선 상승 일치),장대양봉,상승,중립,감소,중간,상승,상승,하락,상승,2024-12-13,4.597079502433754,상승,1057016,195899.00 (2020-05-28),192600.00 (2024-06-11),192396.00 (2021-12-07),200433.00 (2021-10-06),204215.00 (2021-12-28),204696.00 (2022-08-11)
삼성전기,9150,126300,1.3643659711075395,상승,243224,-48.874380436290565,매수 고려(이동평균선 상승 일치),도지,상승,중립,감소,중간,상승,상승,하락,하락,2024-12-13,4.473902236951122,상승,865640,125000.00 (2020-02-03),124000.00 (2020-06-15),123100.00 (2023-10-27),126400.00 (2024-09-11),126500.00 (2022-07-04),131000.00 (2020-09-24)
기아,270,101100,5.642633228840133,상승,1546549,52.31803668123647,매수 고려(이동평균선 상승 일치),장대양봉,상승,중립,증가,상단,상승,상승,하락,하락,2024-12-18,5.642633228840133,상승,1546549,100000.00 (2023-12-28),98100.00 (2024-11-20),96300.00 (2024-08-05),101500.00 (2021-02-05),101800.00 (2024-04-03),105600.00 (2024-09-20)
셀트리온제약,68760,62000,2.310231023102305,상승,264979,28.57253764077383,매수 고려(이동평균선 상승 일치),도지,상승,중립,감소,중간,상승,상승,하락,하락,2024-12-13,8.598130841121488,상승,621019,61314.00 (2023-01-04),61123.00 (2020-04-29),58531.00 (2022-12-08),65400.00 (2024-09-11),65700.00 (2023-07-10),65711.00 (2022-11-15)
카페24,42000,39650,-3.410475030450666,하락,530882,-50.56573378712468,매수 고려(이동평균선 상승 일치),음봉,상승,중립,감소,중간,상승,상승,상승,상승,2024-12-12,5.933429811866864,상승,2587585,38300.00 (2024-08-27),36947.00 (2020-09-01),36350.00 (2024-07-29),41500.00 (2021-02-17),41750.00 (2024-06-20),49700.00 (2021-08-09)
에코프로비엠,247540,120400,1.861252115059231,상승,432203,-60.27662789329726,"관망(단기 하락세, 추세 확인 필요)",양봉,하락,과매도,감소,중간,하락,하락,하락,하락,2024-12-17,-7.800312012480504,하락,1088032,116648.00 (2021-09-27),115100.00 (2022-12-01),112423.00 (2022-01-20),123196.00 (2021-12-02),124500.00 (2024-11-15),128000.00 (2022-08-04)
펄어비스,263750,28400,0.35335689045936647,상승,243878,-61.87100637416688,"관망(단기 하락세, 추세 확인 필요)",도지,하락,과매도,감소,중간,하락,하락,하락,하락,2024-12-13,-14.245014245014243,하락,3639261,28100.00 (2024-03-08),27000.00 (2024-04-16),,30950.00 (2024-04-01),31520.00 (2020-03-23),31700.00 (2024-01-22)
삼성SDI,6400,258500,4.6558704453441235,상승,291312,-54.112532291601035,"관망(볼린저 중간선, 신호 부족)",장대양봉,상승,중립,감소,중간,상승,하락,하락,하락,2024-12-17,-6.083650190114065,하락,634840,246500.00 (2024-11-15),183000.00 (2020-03-19),,286500.00 (2020-04-17),303000.00 (2024-08-08),333000.00 (2024-09-10)
