Date,StockName,StockCode,Open,High,Low,Close,Volume,Change
2020-01-02,쌍용C&E,003410,6178,6211,6058,6080,691944,-0.021091611656738007
2020-01-03,쌍용C&E,003410,6080,6101,5948,5970,1379338,-0.018092105263157854
2020-01-06,쌍용C&E,003410,5970,5970,5882,5883,664009,-0.014572864321608092
2020-01-07,쌍용C&E,003410,5948,5992,5860,5872,650782,-0.0018697943226244629
2020-01-08,쌍용C&E,003410,5838,5849,5576,5620,1603812,-0.042915531335149915
2020-01-09,쌍용C&E,003410,5696,5740,5532,5543,2251929,-0.013701067615658369
2020-01-10,쌍용C&E,003410,5565,5608,5521,5554,1101892,0.0019844849359551553
2020-01-13,쌍용C&E,003410,5565,5597,5554,5598,907638,0.00792221822110184
2020-01-14,쌍용C&E,003410,5641,5641,5576,5587,687034,-0.0019649874955340874
2020-01-15,쌍용C&E,003410,5587,5729,5576,5708,898397,0.02165741900841245
2020-01-16,쌍용C&E,003410,5729,5729,5630,5664,778374,-0.007708479327259932
2020-01-17,쌍용C&E,003410,5663,5718,5652,5686,703412,0.003884180790960423
2020-01-20,쌍용C&E,003410,5718,5751,5619,5653,828923,-0.005803728455856527
2020-01-21,쌍용C&E,003410,5630,5674,5619,5631,636249,-0.003891738899699293
2020-01-22,쌍용C&E,003410,5663,5674,5630,5631,423082,0.0
2020-01-23,쌍용C&E,003410,5619,5641,5521,5543,1060355,-0.01562777481797195
2020-01-28,쌍용C&E,003410,5461,5510,5406,5417,1030346,-0.022731372902760283
2020-01-29,쌍용C&E,003410,5444,5587,5406,5499,967282,0.015137529998153987
2020-01-30,쌍용C&E,003410,5444,5597,5444,5521,884157,0.004000727404982696
2020-01-31,쌍용C&E,003410,5521,5543,5439,5439,888349,-0.014852381814888571
2020-02-03,쌍용C&E,003410,5378,5455,5302,5423,878367,-0.0029417172274315284
2020-02-04,쌍용C&E,003410,5411,5439,5389,5428,695046,0.000921998893601339
2020-02-05,쌍용C&E,003410,5411,5450,5384,5412,553153,-0.0029476787030213725
2020-02-06,쌍용C&E,003410,5422,5499,5422,5472,710119,0.011086474501108556
2020-02-07,쌍용C&E,003410,5472,5510,5450,5477,435417,0.0009137426900585055
2020-02-10,쌍용C&E,003410,5461,5499,5439,5488,274884,0.0020083987584444962
2020-02-11,쌍용C&E,003410,5510,5521,5466,5488,511760,0.0
2020-02-12,쌍용C&E,003410,5466,5488,5422,5477,726559,-0.0020043731778425222
2020-02-13,쌍용C&E,003410,5466,5510,5411,5412,1109584,-0.011867810845353266
2020-02-14,쌍용C&E,003410,5400,5406,5340,5351,1222736,-0.011271249076127088
2020-02-17,쌍용C&E,003410,5351,5367,5258,5275,1144612,-0.014202952719117867
2020-02-18,쌍용C&E,003410,5307,5367,5269,5302,760998,0.00511848341232235
2020-02-19,쌍용C&E,003410,5307,5324,5236,5275,788328,-0.005092417955488537
2020-02-20,쌍용C&E,003410,5269,5280,5154,5165,1158457,-0.020853080568720372
2020-02-21,쌍용C&E,003410,5115,5143,5028,5028,1535665,-0.026524685382381397
2020-02-24,쌍용C&E,003410,4913,4984,4781,4952,2316823,-0.01511535401750197
2020-02-25,쌍용C&E,003410,4951,5263,4951,5247,1558792,0.05957189014539588
2020-02-26,쌍용C&E,003410,5181,5587,5170,5521,2984825,0.05222031637125979
2020-02-27,쌍용C&E,003410,5532,5608,5411,5510,1461064,-0.001992392682485078
2020-02-28,쌍용C&E,003410,5477,5499,5335,5406,1285656,-0.01887477313974595
2020-03-02,쌍용C&E,003410,5406,5532,5280,5412,961375,0.0011098779134295356
2020-03-03,쌍용C&E,003410,5466,5499,5384,5423,789995,0.00203252032520318
2020-03-04,쌍용C&E,003410,5439,5439,5384,5417,474317,-0.0011063986723215402
2020-03-05,쌍용C&E,003410,5455,5630,5411,5565,1365993,0.027321395606424215
2020-03-06,쌍용C&E,003410,5532,5543,5461,5488,790851,-0.01383647798742138
2020-03-09,쌍용C&E,003410,5389,5521,5335,5510,1268003,0.0040087463556850444
2020-03-10,쌍용C&E,003410,5384,5477,5384,5439,798777,-0.012885662431941891
2020-03-11,쌍용C&E,003410,5444,5532,5411,5434,1486248,-0.0009192866335723249
2020-03-12,쌍용C&E,003410,5466,5471,5247,5280,1307104,-0.028340080971659964
2020-03-13,쌍용C&E,003410,4962,5400,4885,5346,1910789,0.012499999999999956
2020-03-16,쌍용C&E,003410,5291,5428,5214,5280,849982,-0.012345679012345734
2020-03-17,쌍용C&E,003410,5099,5384,5050,5384,1191963,0.01969696969696977
2020-03-18,쌍용C&E,003410,5335,5406,5006,5006,1498036,-0.07020802377414559
2020-03-19,쌍용C&E,003410,5039,5083,4217,4442,2669126,-0.11266480223731523
2020-03-20,쌍용C&E,003410,4442,5126,4409,5127,1658698,0.15420981539846923
2020-03-23,쌍용C&E,003410,4831,4946,4710,4897,982500,-0.04486054222742342
2020-03-24,쌍용C&E,003410,4929,5209,4874,5050,1359085,0.031243618541964446
2020-03-25,쌍용C&E,003410,5187,5220,5000,5110,1768177,0.011881188118811892
2020-03-26,쌍용C&E,003410,5110,5192,5044,5083,1246181,-0.005283757338551909
2020-03-27,쌍용C&E,003410,5159,5214,4940,5100,1929041,0.0033444816053511683
2020-03-30,쌍용C&E,003410,4913,4962,4831,4946,1495372,-0.03019607843137251
2020-03-31,쌍용C&E,003410,4957,5203,4880,4941,2201940,-0.0010109179134654145
2020-04-01,쌍용C&E,003410,4935,5011,4721,4820,1522327,-0.024488969844161046
2020-04-02,쌍용C&E,003410,4792,4864,4705,4826,810270,0.0012448132780082943
2020-04-03,쌍용C&E,003410,4820,4858,4754,4820,803626,-0.001243265644426006
2020-04-06,쌍용C&E,003410,4825,4891,4820,4886,760585,0.013692946058091238
2020-04-07,쌍용C&E,003410,4984,4984,4869,4924,785814,0.007777322963569366
2020-04-08,쌍용C&E,003410,4896,4979,4869,4930,886086,0.0012185215272135785
2020-04-09,쌍용C&E,003410,4973,5088,4929,5072,1322382,0.028803245436105573
2020-04-10,쌍용C&E,003410,5099,5269,5050,5231,2013119,0.03134858044164046
2020-04-13,쌍용C&E,003410,5280,5285,5143,5204,973782,-0.00516153699101507
2020-04-14,쌍용C&E,003410,5209,5296,5187,5269,966289,0.012490392006149209
2020-04-16,쌍용C&E,003410,5252,5587,5214,5565,2018492,0.05617764281647375
2020-04-17,쌍용C&E,003410,5619,5619,5428,5456,2202438,-0.019586702605570494
2020-04-20,쌍용C&E,003410,5450,5587,5428,5467,1909508,0.002016129032258007
2020-04-21,쌍용C&E,003410,5477,5565,5225,5488,1852649,0.003841229193341844
2020-04-22,쌍용C&E,003410,5439,6244,5400,5959,12063898,0.08582361516034975
2020-04-23,쌍용C&E,003410,5762,5806,5619,5697,3216036,-0.04396710857526431
2020-04-24,쌍용C&E,003410,5641,5718,5532,5708,1881552,0.0019308407934000016
2020-04-27,쌍용C&E,003410,5740,5828,5608,5653,1470453,-0.00963559915907497
2020-04-28,쌍용C&E,003410,5674,5685,5532,5587,1186748,-0.011675216699097879
2020-04-29,쌍용C&E,003410,5587,5729,5543,5609,1313824,0.003937712546984162
2020-05-04,쌍용C&E,003410,5576,5587,5455,5467,1323868,-0.025316455696202556
2020-05-06,쌍용C&E,003410,5532,5532,5455,5510,765733,0.007865374062557162
2020-05-07,쌍용C&E,003410,5587,5718,5554,5653,2276508,0.025952813067150693
2020-05-08,쌍용C&E,003410,5784,5817,5707,5708,1728796,0.009729347249248121
2020-05-11,쌍용C&E,003410,5773,5784,5608,5609,1060387,-0.017344078486335013
2020-05-12,쌍용C&E,003410,5608,5652,5521,5565,790605,-0.007844535567837374
2020-05-13,쌍용C&E,003410,5532,5608,5510,5598,461911,0.005929919137466211
2020-05-14,쌍용C&E,003410,5587,5619,5532,5554,766728,-0.00785994998213646
2020-05-15,쌍용C&E,003410,5554,5619,5543,5587,676315,0.005941663665826491
2020-05-18,쌍용C&E,003410,5619,5630,5576,5598,659829,0.001968856273492081
2020-05-19,쌍용C&E,003410,5619,5641,5576,5598,1073897,0.0
2020-05-20,쌍용C&E,003410,5597,5619,5543,5543,1121538,-0.009824937477670548
2020-05-21,쌍용C&E,003410,5554,5576,5543,5543,754808,0.0
2020-05-22,쌍용C&E,003410,5565,5597,5488,5499,874232,-0.007937939743821065
2020-05-25,쌍용C&E,003410,5499,5554,5466,5521,785158,0.004000727404982696
2020-05-26,쌍용C&E,003410,5488,5641,5488,5609,1184055,0.0159391414598804
2020-05-27,쌍용C&E,003410,5597,5630,5554,5609,938599,0.0
2020-05-28,쌍용C&E,003410,5619,5630,5499,5565,1550093,-0.007844535567837374
2020-05-29,쌍용C&E,003410,5565,5597,5521,5554,1202289,-0.001976639712488737
2020-06-01,쌍용C&E,003410,6003,6134,5619,5686,7481059,0.023766654663305742
2020-06-02,쌍용C&E,003410,5674,5773,5619,5762,2051795,0.013366162504396817
2020-06-03,쌍용C&E,003410,5828,5904,5773,5894,2502050,0.02290871225269009
2020-06-04,쌍용C&E,003410,5948,5981,5817,5861,1779344,-0.005598914149983036
2020-06-05,쌍용C&E,003410,5882,5926,5838,5916,1217941,0.00938406415287485
2020-06-08,쌍용C&E,003410,6003,6014,5871,5916,1287216,0.0
2020-06-09,쌍용C&E,003410,5926,5959,5828,5883,1187555,-0.005578093306288001
2020-06-10,쌍용C&E,003410,5882,5915,5860,5905,932298,0.0037395886452489258
2020-06-11,쌍용C&E,003410,5915,5926,5817,5894,1504507,-0.0018628281117696321
2020-06-12,쌍용C&E,003410,5696,5838,5685,5773,1645219,-0.020529351883271096
2020-06-15,쌍용C&E,003410,5762,5762,5521,5543,1524056,-0.03984063745019917
2020-06-16,쌍용C&E,003410,5641,5751,5619,5697,1550386,0.02778278910337373
2020-06-17,쌍용C&E,003410,5641,5718,5619,5708,826053,0.0019308407934000016
2020-06-18,쌍용C&E,003410,5663,5751,5663,5729,569539,0.0036790469516467805
2020-06-19,쌍용C&E,003410,5740,5762,5685,5729,627920,0.0
2020-06-22,쌍용C&E,003410,5784,5838,5762,5795,744445,0.011520335137022109
2020-06-23,쌍용C&E,003410,5828,5871,5751,5828,884568,0.005694564279551395
2020-06-24,쌍용C&E,003410,5904,5904,5806,5828,911289,0.0
2020-06-25,쌍용C&E,003410,5806,5838,5762,5806,836305,-0.003774879890185323
2020-06-26,쌍용C&E,003410,5828,5860,5795,5817,1211874,0.0018945918015844665
2020-06-29,쌍용C&E,003410,5663,5685,5576,5598,988739,-0.03764827230531198
2020-06-30,쌍용C&E,003410,5608,5641,5554,5587,968843,-0.0019649874955340874
2020-07-01,쌍용C&E,003410,5597,5652,5576,5598,717585,0.001968856273492081
2020-07-02,쌍용C&E,003410,5641,5663,5587,5598,1186137,0.0
2020-07-03,쌍용C&E,003410,5652,5652,5576,5620,868934,0.003929974991068175
2020-07-06,쌍용C&E,003410,5619,5630,5521,5587,674690,-0.005871886120996428
2020-07-07,쌍용C&E,003410,5597,5608,5477,5510,1648341,-0.013781993914444235
2020-07-08,쌍용C&E,003410,5521,5543,5472,5488,864875,-0.0039927404718693715
2020-07-09,쌍용C&E,003410,5488,5510,5455,5456,1236885,-0.005830903790087438
2020-07-10,쌍용C&E,003410,5455,5466,5356,5379,1190366,-0.014112903225806495
2020-07-13,쌍용C&E,003410,5373,5439,5340,5434,919635,0.010224948875255713
2020-07-14,쌍용C&E,003410,5428,5428,5384,5412,438486,-0.004048582995951455
2020-07-15,쌍용C&E,003410,5433,5472,5411,5434,703086,0.004065040650406582
2020-07-16,쌍용C&E,003410,5450,5455,5389,5412,544564,-0.004048582995951455
2020-07-17,쌍용C&E,003410,5411,5439,5400,5434,381759,0.004065040650406582
2020-07-20,쌍용C&E,003410,5444,5444,5406,5417,492851,-0.0031284504968716043
2020-07-21,쌍용C&E,003410,5411,5439,5411,5423,450079,0.001107624146206465
2020-07-22,쌍용C&E,003410,5422,5439,5400,5417,851054,-0.0011063986723215402
2020-07-23,쌍용C&E,003410,5417,5422,5340,5362,1153759,-0.010153221340225227
2020-07-24,쌍용C&E,003410,5362,5422,5335,5362,1088005,0.0
2020-07-27,쌍용C&E,003410,5367,5461,5362,5412,922381,0.00932487877657584
2020-07-28,쌍용C&E,003410,5411,5450,5378,5412,816737,0.0
2020-07-29,쌍용C&E,003410,5411,5439,5389,5439,804047,0.004988913525498795
2020-07-30,쌍용C&E,003410,5450,5461,5417,5445,718529,0.0011031439602868787
2020-07-31,쌍용C&E,003410,5461,5543,5455,5543,1366121,0.017998163452708882
2020-08-03,쌍용C&E,003410,5565,5587,5477,5499,1097276,-0.007937939743821065
2020-08-04,쌍용C&E,003410,5499,5543,5488,5510,1333868,0.002000363702491459
2020-08-05,쌍용C&E,003410,5532,5576,5488,5510,1300881,0.0
2020-08-06,쌍용C&E,003410,5587,5937,5576,5883,8643152,0.06769509981851174
2020-08-07,쌍용C&E,003410,5904,5926,5718,5795,2754251,-0.014958354580996036
2020-08-10,쌍용C&E,003410,5871,6025,5806,5992,4341390,0.0339948231233822
2020-08-11,쌍용C&E,003410,6069,6178,6003,6135,4009514,0.023865153538050743
2020-08-12,쌍용C&E,003410,6112,6244,5959,6211,2765811,0.0123879380603098
2020-08-13,쌍용C&E,003410,6277,6288,6112,6157,2032813,-0.008694252133311875
2020-08-14,쌍용C&E,003410,6189,6222,6003,6113,1481975,-0.007146337502030198
2020-08-18,쌍용C&E,003410,6145,6189,5992,6047,2670742,-0.010796662849664629
2020-08-19,쌍용C&E,003410,6080,6321,6080,6277,3269217,0.03803538944931373
2020-08-20,쌍용C&E,003410,6233,6266,6080,6113,2474111,-0.02612713079496576
2020-08-21,쌍용C&E,003410,6156,6244,6123,6124,1393060,0.0017994438082773456
2020-08-24,쌍용C&E,003410,6145,6288,6036,6277,2043395,0.024983670803396363
2020-08-25,쌍용C&E,003410,6342,6353,6233,6332,1547291,0.00876214752270199
2020-08-26,쌍용C&E,003410,6342,6342,6167,6266,1261036,-0.010423246999368252
2020-08-27,쌍용C&E,003410,6277,6288,6058,6102,1911268,-0.026172997127353992
2020-08-28,쌍용C&E,003410,6058,6200,6058,6135,1056892,0.005408062930186919
2020-08-31,쌍용C&E,003410,6189,6255,6123,6179,1444469,0.007171964140179288
2020-09-01,쌍용C&E,003410,6047,6792,5740,6244,5385415,0.010519501537465503
2020-09-02,쌍용C&E,003410,6452,6704,6364,6672,6013818,0.06854580397181298
2020-09-03,쌍용C&E,003410,6759,6759,6496,6562,2826428,-0.01648681055155876
2020-09-04,쌍용C&E,003410,6331,6540,6321,6496,1916276,-0.010057909174032265
2020-09-07,쌍용C&E,003410,6529,6529,6277,6310,2347081,-0.02863300492610843
2020-09-08,쌍용C&E,003410,6310,6353,6189,6244,1904227,-0.01045958795562596
2020-09-09,쌍용C&E,003410,6145,6233,6145,6168,951560,-0.0121716848174247
2020-09-10,쌍용C&E,003410,6189,6211,6167,6168,761018,0.0
2020-09-11,쌍용C&E,003410,6134,6222,6134,6190,653904,0.003566796368352776
2020-09-14,쌍용C&E,003410,6200,6331,6145,6277,891910,0.014054927302100229
2020-09-15,쌍용C&E,003410,6277,6299,6222,6255,573422,-0.0035048590090808185
2020-09-16,쌍용C&E,003410,6255,6288,6211,6211,736602,-0.007034372501998454
2020-09-17,쌍용C&E,003410,6222,6310,6200,6244,845337,0.005313154081468374
2020-09-18,쌍용C&E,003410,6244,6540,6244,6540,2184869,0.0474055092889174
2020-09-21,쌍용C&E,003410,6474,6562,6419,6442,1172165,-0.014984709480122316
2020-09-22,쌍용C&E,003410,6441,6474,6353,6420,1119205,-0.0034150884818379135
2020-09-23,쌍용C&E,003410,6496,6671,6430,6650,3499102,0.03582554517133962
2020-09-24,쌍용C&E,003410,6551,6605,6419,6485,1896763,-0.024812030075187952
2020-09-25,쌍용C&E,003410,6529,6551,6331,6376,1457627,-0.01680801850424052
2020-09-28,쌍용C&E,003410,6255,6430,6189,6431,1562921,0.008626097867001192
2020-09-29,쌍용C&E,003410,6430,6441,6299,6431,1129815,0.0
2020-10-05,쌍용C&E,003410,6452,6452,6277,6310,1461246,-0.01881511429015703
2020-10-06,쌍용C&E,003410,6288,6299,6101,6146,1905672,-0.025990491283676698
2020-10-07,쌍용C&E,003410,6145,6222,6090,6201,684675,0.008948909860071685
2020-10-08,쌍용C&E,003410,6200,6211,6090,6135,1016533,-0.010643444605708763
2020-10-12,쌍용C&E,003410,6189,6244,6123,6146,1284112,0.001792991035044933
2020-10-13,쌍용C&E,003410,6167,6200,6145,6168,737416,0.0035795639440285854
2020-10-14,쌍용C&E,003410,6200,6266,6156,6179,1139085,0.001783398184176388
2020-10-15,쌍용C&E,003410,6178,6244,6134,6190,916904,0.0017802233371095877
2020-10-16,쌍용C&E,003410,6200,6222,6080,6091,880507,-0.015993537964458793
2020-10-19,쌍용C&E,003410,6069,6178,6058,6168,560242,0.0126416023641438
2020-10-20,쌍용C&E,003410,6167,6266,6156,6266,880967,0.015888456549935093
2020-10-21,쌍용C&E,003410,6244,6288,6211,6255,767672,-0.001755505904883492
2020-10-22,쌍용C&E,003410,6244,6266,6189,6233,604646,-0.0035171862509991714
2020-10-23,쌍용C&E,003410,6244,6244,6178,6222,534289,-0.001764800256698229
2020-10-26,쌍용C&E,003410,6222,6233,6156,6157,526974,-0.01044680167148826
2020-10-27,쌍용C&E,003410,6101,6189,6036,6157,794724,0.0
2020-10-28,쌍용C&E,003410,6145,6189,6090,6190,450661,0.005359753126522593
2020-10-29,쌍용C&E,003410,6123,6167,6090,6135,698725,-0.008885298869143798
2020-10-30,쌍용C&E,003410,6123,6134,6058,6080,686325,-0.00896495517522411
2020-11-02,쌍용C&E,003410,6112,6112,6047,6080,562508,0.0
2020-11-03,쌍용C&E,003410,6058,6145,6058,6080,415681,0.0
2020-11-04,쌍용C&E,003410,6123,6145,6058,6102,738096,0.0036184210526315486
2020-11-05,쌍용C&E,003410,6101,6145,6058,6135,744586,0.005408062930186919
2020-11-06,쌍용C&E,003410,6145,6145,6080,6091,796054,-0.007171964140179288
2020-11-09,쌍용C&E,003410,6090,6123,6069,6113,1187488,0.003611886389755403
2020-11-10,쌍용C&E,003410,6112,6123,5992,6014,2222097,-0.016194994274497
2020-11-11,쌍용C&E,003410,6003,6080,5992,6080,1486716,0.010974393082806788
2020-11-12,쌍용C&E,003410,0,0,0,6080,0,0.0
2020-11-13,쌍용C&E,003410,0,0,0,6080,0,0.0
2020-11-16,쌍용C&E,003410,0,0,0,6080,0,0.0
2020-11-17,쌍용C&E,003410,0,0,0,6080,0,0.0
2020-11-18,쌍용C&E,003410,0,0,0,6080,0,0.0
2020-11-19,쌍용C&E,003410,0,0,0,6080,0,0.0
2020-11-20,쌍용C&E,003410,0,0,0,6080,0,0.0
2020-11-23,쌍용C&E,003410,0,0,0,6080,0,0.0
2020-11-24,쌍용C&E,003410,0,0,0,6080,0,0.0
2020-11-25,쌍용C&E,003410,0,0,0,6080,0,0.0
2020-11-26,쌍용C&E,003410,0,0,0,6080,0,0.0
2020-11-27,쌍용C&E,003410,0,0,0,6080,0,0.0
2020-11-30,쌍용C&E,003410,0,0,0,6080,0,0.0
2020-12-01,쌍용C&E,003410,0,0,0,6080,0,0.0
2020-12-02,쌍용C&E,003410,0,0,0,6080,0,0.0
2020-12-03,쌍용C&E,003410,0,0,0,6080,0,0.0
2020-12-04,쌍용C&E,003410,6080,6910,6080,6700,22171425,0.10197368421052633
2020-12-07,쌍용C&E,003410,7020,7300,6700,6820,10075423,0.017910447761193993
2020-12-08,쌍용C&E,003410,6820,6930,6590,6640,4854830,-0.02639296187683282
2020-12-09,쌍용C&E,003410,6640,6920,6630,6830,4241915,0.028614457831325213
2020-12-10,쌍용C&E,003410,6920,7320,6870,7230,8649599,0.05856515373352855
2020-12-11,쌍용C&E,003410,7230,7420,7110,7250,4537908,0.0027662517289073207
2020-12-14,쌍용C&E,003410,7200,7330,7110,7150,2959467,-0.01379310344827589
2020-12-15,쌍용C&E,003410,7120,7220,6910,7210,2705417,0.008391608391608463
2020-12-16,쌍용C&E,003410,7230,7290,7110,7200,1720788,-0.001386962552011095
2020-12-17,쌍용C&E,003410,7170,7170,7040,7060,2213195,-0.019444444444444486
2020-12-18,쌍용C&E,003410,7100,7210,7030,7150,2328867,0.012747875354107707
2020-12-21,쌍용C&E,003410,7150,7190,7030,7160,1298763,0.0013986013986013734
2020-12-22,쌍용C&E,003410,7110,7150,6950,6960,2029135,-0.027932960893854775
2020-12-23,쌍용C&E,003410,7030,7100,6850,6900,1998021,-0.008620689655172376
2020-12-24,쌍용C&E,003410,6920,7000,6920,7000,1168126,0.01449275362318847
